run_id,group,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps
45360.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,32,10,2000,block-id,1,0.971350,178.186536,3.071904,125.425458,135.330200,16.803622,1.003146,8724.534500,25000,25000.000000,25000,1.000000,359.634399,5561.203275
45361.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,64,10,2000,block-id,1,0.990550,282.916427,1.934528,217.278540,236.055136,28.272510,1.119256,15384.605000,25000,25000.000000,25000,1.000000,569.224358,3513.553089
45362.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,64,10,2000,block-id,1,0.990550,327.413917,2.071977,256.250322,279.215097,20.714402,1.095057,15384.605000,25000,25000.000000,25000,1.000000,658.372641,3037.793305
45363.master_ubss1,IVF-B,ivf-mpi-3-3,4,1,1,4,4,512,64,10,2000,block-id,1,0.990550,298.260927,2.073526,233.515114,246.992946,12.370825,1.062155,15384.605000,25000,25000.000000,25000,1.000000,600.004435,3333.308697
45364.master_ubss1,IVF-C,ivf-mpi-3-3,1,1,1,1,1,512,64,10,2000,block-id,1,0.990550,1052.334189,0.740886,1003.554463,1003.554463,1.100063,0.610828,15384.605000,100000,100000.000000,100000,1.000000,2108.874083,948.373360
45365.master_ubss1,IVF-C,ivf-mpi-3-3,1,1,1,1,1,512,64,10,2000,block-id,1,0.990550,1036.224365,0.498176,993.678808,993.678808,0.791192,0.525236,15384.605000,100000,100000.000000,100000,1.000000,2076.035976,963.374442
45366.master_ubss1,IVF-C,ivf-mpi-3-3,1,1,1,1,1,512,64,10,2000,block-id,1,0.990550,899.633765,0.482678,856.772423,856.772423,0.711203,0.524044,15384.605000,100000,100000.000000,100000,1.000000,1802.742958,1109.420503
45367.master_ubss1,IVF-C,ivf-mpi-3-3,2,1,1,2,2,512,64,10,2000,block-id,1,0.990550,528.576851,2.143264,445.878029,480.077624,71.923375,0.999570,15384.605000,50000,50000.000000,50000,1.000000,1060.859919,1885.263045
45368.master_ubss1,IVF-C,ivf-mpi-3-3,2,1,1,2,2,512,64,10,2000,block-id,1,0.990550,514.028072,2.001524,452.668488,465.420485,19.008160,0.944614,15384.605000,50000,50000.000000,50000,1.000000,1031.755209,1938.444296
45369.master_ubss1,IVF-C,ivf-mpi-3-3,2,1,1,2,2,512,64,10,2000,block-id,1,0.990550,507.173657,2.447963,429.212868,457.858205,14.595866,0.826240,15384.605000,50000,50000.000000,50000,1.000000,1018.183708,1964.282068
45370.master_ubss1,IVF-C,ivf-mpi-3-3,4,1,1,4,4,512,64,10,2000,block-id,1,0.990550,299.934387,2.304673,234.846741,253.157496,26.900530,1.096487,15384.605000,25000,25000.000000,25000,1.000000,603.331804,3314.925528
45371.master_ubss1,IVF-C,ivf-mpi-3-3,4,1,1,4,4,512,64,10,2000,block-id,1,0.990550,289.492846,2.008915,225.675166,241.934538,14.665604,1.130342,15384.605000,25000,25000.000000,25000,1.000000,582.292557,3434.699580
45372.master_ubss1,IVF-C,ivf-mpi-3-3,4,1,1,4,4,512,64,10,2000,block-id,1,0.990550,309.757948,2.181888,223.659039,260.779142,77.004075,1.055717,15384.605000,25000,25000.000000,25000,1.000000,622.735977,3211.633940
45373.master_ubss1,IVF-C,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,204.800248,2.269983,126.231059,154.330134,50.314069,1.371503,15384.605000,12500,12500.000000,12500,1.000000,412.891150,4843.891671
45374.master_ubss1,IVF-C,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,223.352671,2.155066,147.196472,178.945780,40.912271,1.385570,15384.605000,12500,12500.000000,12500,1.000000,449.988127,4444.561714
45375.master_ubss1,IVF-C,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,206.079721,2.348542,128.708661,158.914566,9.315252,1.392245,15384.605000,12500,12500.000000,12500,1.000000,415.444851,4814.116713
45376.master_ubss1,IVF-C,ivf-mpi-3-3,16,1,2,8,16,512,64,10,2000,block-id,1,0.990550,258.174777,13.956428,58.986045,71.401596,133.410931,2.032280,15384.605000,6250,6250.000000,6250,1.000000,519.996643,3846.178676
45377.master_ubss1,IVF-C,ivf-mpi-3-3,16,1,2,8,16,512,64,10,2000,block-id,1,0.990550,269.810677,18.051624,57.808459,71.117878,131.410718,2.233267,15384.605000,6250,6250.000000,6250,1.000000,543.440819,3680.253545
45378.master_ubss1,IVF-C,ivf-mpi-3-3,16,1,2,8,16,512,64,10,2000,block-id,1,0.990550,267.151952,16.888022,57.270467,71.165562,127.336979,2.133727,15384.605000,6250,6250.000000,6250,1.000000,538.110733,3716.707133
45379.master_ubss1,IVF-C,ivf-mpi-3-3,32,1,4,8,32,512,64,10,2000,block-id,1,0.990550,524.792790,57.009935,29.502235,45.128942,352.945805,3.274918,15384.605000,3125,3125.000000,3125,1.000000,1054.396152,1896.820275
45380.master_ubss1,IVF-C,ivf-mpi-3-3,32,1,4,8,32,512,64,10,2000,block-id,1,0.990550,504.279613,56.686282,29.749140,43.198824,334.480405,3.290534,15384.605000,3125,3125.000000,3125,1.000000,1013.494968,1973.369442
45381.master_ubss1,IVF-C,ivf-mpi-3-3,32,1,4,8,32,512,64,10,2000,block-id,1,0.990550,503.656507,38.898587,29.441178,43.702006,342.524529,3.153443,15384.605000,3125,3125.000000,3125,1.000000,1012.163639,1975.965074
45382.master_ubss1,IVF-D,ivf-mpi-3-3,8,1,1,8,8,512,64,10,2000,block-id,1,0.990550,186.932206,3.388405,115.988165,139.488339,15.945792,1.386762,15384.605000,12500,12500.000000,12500,1.000000,377.245426,5301.588465
