ivf_mpi_omp_results.csv

run_id,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps
45299.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,64,10,2000,block,1,0.997100,1475.058198,3.950357,817.283928,1049.865842,28.235197,1.542091,28580.671000,12500,12500.000000,12500,1.000000,2954.644918,676.900289

45300.master_ubss1,ivf-mpi-omp,8,2,2,8,16,256,64,10,2000,block,1,0.997100,1475.346923,2.873778,812.578604,1052.998066,58.850169,1.530766,28580.671000,12500,12500.000000,12500,1.000000,2954.759836,676.873963

45301.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,8,10,2000,block,1,0.869700,1418.573856,3.242731,632.687122,870.749474,179.608822,1.296878,2888.334500,12500,12500.000000,12500,1.000000,2840.525150,704.095156

45302.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,8,10,2000,block,1,0.869700,1280.324817,2.225757,650.132582,886.065841,46.856999,1.260877,2888.334500,12500,12500.000000,12500,1.000000,2563.981295,780.036892

45303.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,8,10,2000,block,1,0.869700,1285.647035,2.150059,652.353361,880.249262,38.218141,1.267433,2888.334500,12500,12500.000000,12500,1.000000,2574.659348,776.801794

45304.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,8,10,2000,block,1,0.869700,1265.734315,3.231287,646.977723,862.419009,16.082883,1.329064,2888.334500,12500,12500.000000,12500,1.000000,2535.103559,788.922406

45305.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,16,10,2000,block,1,0.935300,1295.378923,2.850890,664.200231,885.833979,31.530023,1.392722,5002.257500,12500,12500.000000,12500,1.000000,2594.154358,770.964146

45306.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,16,10,2000,block,1,0.935300,1286.250234,3.143549,661.771774,879.384279,22.131801,1.333952,5002.257500,12500,12500.000000,12500,1.000000,2576.001644,776.397020

45307.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,16,10,2000,block,1,0.935300,1294.585347,2.803564,668.770865,887.140274,33.652663,1.328230,5002.257500,12500,12500.000000,12500,1.000000,2592.563391,771.437261

45309.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,32,10,2000,block,1,0.971350,1791.469455,2.808332,641.890049,911.825061,482.217431,1.789570,8724.534500,12500,12500.000000,12500,1.000000,3587.429762,557.502204

45310.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,32,10,2000,block,1,0.971350,1345.693946,2.944827,698.726252,936.353683,43.959141,1.385927,8724.534500,12500,12500.000000,12500,1.000000,2694.931984,742.133758

45311.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,32,10,2000,block,1,0.971350,1616.314888,3.146648,635.937452,736.149192,321.523309,1.429081,8724.534500,12500,12500.000000,12500,1.000000,3236.095428,618.028746

