run_id,group,algorithm,np,threads,nodes,ppn,total_cores,M,efConstruction,efSearch,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,build_avg_ms,build_max_ms,batch_time_ms,qps
45498.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,246.204853,1.375437,220.436603,236.292005,16.525388,1.241922,40.000000,25000,25000.000000,25000,1.000000,29.095113,29.580116,496.623039,4027.199389
45499.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,246.151209,1.345992,221.988976,237.062097,15.811086,1.240849,40.000000,25000,25000.000000,25000,1.000000,30.026913,31.614304,496.363878,4029.302066
45500.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,240.712166,1.172781,217.962414,232.103825,15.477657,1.167059,40.000000,25000,25000.000000,25000,1.000000,29.188097,30.412197,485.453844,4119.856140
45501.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,cyclic,0,0.998650,249.825478,1.395583,215.193272,239.354134,37.988544,1.320839,40.000000,25000,25000.000000,25000,1.000000,6302.806139,6557.524920,503.873587,3969.249536
45502.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,cyclic,1,0.998650,257.881761,0.947952,218.511373,249.750853,4.431009,1.170158,40.000000,25000,25000.000000,25000,1.000000,31.644046,33.382654,519.756317,3847.957079
45503.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,cyclic,1,0.998650,247.779846,1.442671,218.283147,237.730622,34.585238,1.224399,40.000000,25000,25000.000000,25000,1.000000,29.854000,30.596495,499.841452,4001.268789
45504.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,random-hash,0,0.998650,240.280151,1.004934,216.431826,232.211232,27.541041,1.180887,40.000000,24859,25000.000000,25209,1.008360,6380.489647,6730.470419,484.629631,4126.862808
45505.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,random-hash,1,0.998650,242.962599,1.405239,220.837891,233.839989,33.460498,1.351953,40.000000,24859,25000.000000,25209,1.008360,32.277763,33.098221,490.093708,4080.852227
45506.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,random-hash,1,0.998650,222.383261,1.423120,200.990319,213.298559,10.472775,1.164794,40.000000,24859,25000.000000,25209,1.008360,30.877471,30.993938,448.985100,4454.490808
45507.master_ubss1,HNSW-D,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,random-hash,1,0.998650,245.986700,1.228094,222.664595,237.040997,7.375717,1.242280,40.000000,24859,25000.000000,25209,1.008360,31.152725,31.863689,496.196747,4030.659235
